,permit#,permit_type_description,permit_subtype_description,date_entered,date_issued,construction_cost,address,city,state,zip,subdivision/lot,contact,purpose,council_district
194,2020033648,Building Residential - New,Duplex,6/1/2020,6/10/2020,245269,726  COPPER BRANCH RD,HERMITAGE,TN,37076,UNIT 1482 MAGNOLIA FARMS VILLAS,BEAZER HOMES CORP,"To build a 2023 sq. ft. single family house with an attached 396 sq. ft. two car garage.  To be built under Master Permit # 2019007468.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",14.0
195,2021006415,Building Residential - Rehab,Duplex,2/1/2021,2/4/2021,15000,4656  FOREST RIDGE DR,HERMITAGE,TN,37076,LOT 219 VALLEY GROVE SEC 9,GEBHARDT CONSTRUCTION CO LLC,"Installling new windows, drywall, rebricking This property was involved in the 2020 tornado.  separate permit required for deck as applicant will need to submit a site plan.  for every 50' site frontage, a 24  x 36  d/ sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",12.0
196,2019028896,Building Residential - New,Duplex,5/16/2019,5/21/2019,281625,424  CREEDMORE DR,OLD HICKORY,TN,37138,LOT 5 ROBINSON FLATS,"E SQUARED,LLC","to construct 2500SF duplex residence(1250SF each side). 5' side setback, 20' min. rear and front setback. not to be over any easements.
***PURSUANT TO ORDINANCE NO 2008-1263 of the Metropolitan Code of Laws, I , holder of this permit, hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill.  Further, I certify that no construction or demolition waste shall be stored on the property in violation of any provisions of the Metropolitan Code* For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.*
For every 50 feet of site frontage, a double-sided sign 24� x 36� in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.***",11.0
197,2020067757,Building Residential - New,Duplex,10/28/2020,11/17/2020,265516,809  SUNSET VIEW DR,HERMITAGE,TN,37076,UNIT 1391 MAGNOLIA FARMS PH 2 SEC 2,BEAZER HOMES CORP,"To build a 2190 sq. ft. single family house with an attached 399 sq. ft. two car garage.  To be built under Master Permit # 201907468.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",14.0
198,2019069576,Building Residential - Rehab,Duplex,11/13/2019,11/20/2019,556,2134  BRANSFORD AVE,NASHVILLE,TN,37204,LOT 10 CUMBERLAND PARK,DIXON HOLDING CO. LLC DBA ASCENSION GENERAL CONTRACTORS,"Fire burned both units in a duplex, causing damage to framing, electrical, plumbing, and mechanical.
No change to footprint.  Remains a two unit, single story duplex.  no increase to building footprint.  no increase in number of dwelling units.  subject to inspectors approval.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",17.0
199,2020051875,Building Residential - New,Duplex,8/19/2020,3/24/2021,181860,1302A  MONETTA AVE,NASHVILLE,TN,37216,UNIT A HOMES AT 1302 MONETTA AVENUE,"LISTWORTHY, LLC","parent parcel is map 72-10 parcel 245, is zoned R6, contains 7500 sf lot area and is in a pre 1984 recorded subdivision.  this permit to construct unit A of proposed horizonal property line regime duplex with 1500 sf living area and 305 sf porch areas.  units attached.  max allowed height is 45' three floors max.  32.2' min front s/b; 5' min side s/b; 20' min rear s/b.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.  must comply fully with metro council bills 2014-725 and 2014-770.",7.0
200,2019019219,Building Residential - New,Duplex,4/3/2019,4/3/2019,285000,2602  10TH AVE S,NASHVILLE,TN,37204,UNIT 929B HOMES AT 929 MONTROSE AVENUE,"BRITT DEVELOPMENT GROUP, LLC","Addition to existing residence.  MHZC must approve application.  no increase in number of dwelling units.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.  PUBLIC WORKS STAFF PLEASE NOTE: INSTRUMENT REQUIRED FOR FUTURE SIDEWALK IMPROVEMENTS.  DO NOT IGNORE THIS APPLICATION.",17.0
201,2020010920,Building Residential - New,Duplex,2/19/2020,2/21/2020,20000,248B  EISENHOWER DR,NASHVILLE,TN,37211,LOT 175 SEC 4 KENILWORTH ESTATES,SELF CONTRACTOR RESIDENTIAL (SEE APPLICANT INFORMATION),"Convert single family residence to a duplex by rehabbing the basement to create a second dwelling unit.  Includes adding a new kitchen and bathroom. May require engineered plans. POC: BERMUDEZ, EVERARDO, 615-945-9492. Applicant applied for a self-permit and will act as his/her own general contractor with full responsibility for code compliance, for hiring and employing individuals and subcontractors, and with ultimate responsibility for his/her own work and for the work of others. Acting as his/her general contractor, applicant may forfeit certain protections which might be available to him/her through the State of Tennessee general contractor�s licensing process. Applicant, as a self-build permit holder, is further responsible for requesting all required inspections and completing all authorized work in compliance with applicable adopted codes. Separate permits are required for any electrical, plumbing and gas/mechanical work and are not part of the building permit. No construction and demolition waste will be stored on the property and such waste shall be disposed of in a clean and sanitary manner by placing it in approved containers and having such waste discarded at an approved landfill. Signage must be posted pursuant to M.C.L. 16.28.230, including project information signs, which shall be posted in English and Spanish with one double-sided 24  (vertical) � 36  (horizontal) sign posted for every fifty feet of site frontage, with no more than three signs required per street frontage.",26.0
202,2020025242,Building Residential - New,Duplex,4/21/2020,4/24/2020,186346,4664  FOREST RIDGE DR,HERMITAGE,TN,37076,LOT 217 VALLEY GROVE SEC 9,MODERN BUILDERS LLC,"to rebuild tornado destroyed non-conforming duplex.  1537 sf living area with 100Sf addition to the rear.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",12.0
203,2019035954,Building Residential - New,Duplex,6/18/2019,6/24/2019,145900,6036  BLACKBERRY RIDGE LN,HERMITAGE,TN,37076,UNIT 1152 MAGNOLIA FARMS VILLAS,BEAZER HOMES CORP,"To build a 1563 sq. ft. single family home with an attached 399 sq. ft. two car garage. Rear Covered porch 140 sq. ft. To be built under  MASTER PERMIT # 2019007468.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",14.0
204,2021012344,Building Residential - Rehab,Duplex,3/2/2021,3/16/2021,60000,1440  LISCHEY AVE,NASHVILLE,TN,37207,LOT 3 BARKFIELD VALLEY ESTATES,"ADAGIO DEVELOPMENT GROUP, LLC","New hvac, updating plumbing, new flooring, updated kitchens and bathrooms, new roof, electrical for existing non-conforming duplex.  no increase to building footprint.  no increase in number of units.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",5.0
205,2019018620,Building Residential - New,Duplex,4/1/2019,10/3/2019,735605,432  MALLORY ST,NASHVILLE,TN,37203,LOT 22 B F BROWNS PLAN OF THE RAINS SPRING PROP,MCKENZIE CONSTRUCTION LLC,"To construct an attached duplex family residence for use as a Group Home. Each Unit to house a group of individuals (family) as defined by Metro Code 17.04.060 and in accordance with Tenn Code 13-24-102.  To be addressed as 428 Mallory (lower level) and 430 Mallory (Right Unit) and 432 Mallory (Left Unit). Minimum  43.2 ft front setback, 10 ft setback along Mallory Street, and 20 ft rear setback. Must conform with easements on property and R6-A Zoning. Each Duplex unit to have 3265 of living areas and 255 sq ft of porches for each unit. Ground level to have 3588 sq ft of living area. Sidewalks ARE required for this project because this parcel is within the UZO. You are eligible to contribute to the Pedestrian.. For every 50 feet of site frontage, a double-sided sign 24� x 36� in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.",17.0
206,2018033538,Building Residential - Rehab,Duplex,6/11/2018,6/18/2018,25000,2336  OLD MATTHEWS RD,NASHVILLE,TN,37207,LOTS 28 & 29 TRINITY HILLS VILLAGE SEC 1 3RD ADDN,"RODGERS, CHRIS","Rehab both floors and convert to standard duplex with required one (1) hour tenant separation.  Both units will have separate water services and electrical services. Each unit will also have its own HVAC and furnace. Also, separate mailboxes will be provided. Will apply for a new water tap as well as electric meter through NES.  parcel is zoned R8 and contains 18,029 sf lot area.  no increase to building footprint.  PUBLIC WORKS STAFF PLEASE NOTE: INSTRUMENT REQUIRED FOR FUTURE SIDEWALK IMPROVEMENTS.  DO NOT IGNORE THIS APPLICATION.",2.0
207,2020031428,Building Residential - Rehab,Duplex,5/20/2020,5/21/2020,32614,2170A  ROCK CITY ST,NASHVILLE,TN,37216,LOT 22-A W.A.&R.R. MAXEY SUB ZONE LOT DIV,JAYROC O.C.LLC,"Taking over project that's over 50% complete.  see permit CARA 2020001445.  538 sf second floor addition.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",7.0
208,2020049676,Building Residential - New,Duplex,8/10/2020,8/25/2020,250000,1219A  14TH AVE S,NASHVILLE,TN,37212,UNIT A HOMES AT 1219 14TH AVENUE SOUTH,"AMERICAN EAGLE CONSTRUCTION, LLC","parent parcel is map 105-5 parcel 43, is zoned R6-A, contains 7500 sf lot area and is in a pre 1984 recorded subdivision.  this permit to construct unit A of proposed horizonal property line regime duplex.  units attached.  max allowed height is 45' three floors max.  R6-A zoning requires all parking to be to the rear of residence.  33.10' min front s/b; 5' min side s/b; 20' min rear s/b.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.  must comply fully with metro council bills 2014-725 and 2014-770.",17.0
209,2019071710,Building Residential - New,Duplex,11/21/2019,12/3/2019,165000,844  SUNSET VIEW DR,HERMITAGE,TN,37076,UNIT 1331 MAGNOLIA FARMS VILLAS,BEAZER HOMES CORP,"To build a 2124 sq. ft. single family house with an attached 399 sq. ft. two car garage.  House to be built under MASTER PERMIT # 2019007468.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",14.0
210,2020080060,Building Residential - New,Duplex,12/28/2020,1/27/2021,334622,2D  BELLE FORREST AVE,NASHVILLE,TN,37206,UNIT B RESIDENCES AT TWO BELLE FORREST AVENUE,PAROS GROUP LLC,"To construct ...Unit B� of HPR detached duplex with 2760sf heated/cooled, 497sf attached garage, and 325sf porches/decks.  units detached.  max allowed height is 45' three floors max.  min required distance between structures is 6' min with no bump outs.  48.4' min front s/b; 5' min side s/b; 20' min rear s/b.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.  must comply fully with metro council bills 2014-725 and 2014-770.",7.0
211,2021008436,Building Residential - New,Duplex,2/8/2021,3/12/2021,181981,808  RUNOFF WAY,NASHVILLE,TN,37218,UNIT 28B CROSSING AT DRAKES BRANCH,SDH NASHVILLE LLC,"to construct Unit B of attached duplex single family residence with 1501 SF of living space, 401 SF garage, and 190 SF of porches/decks.  SP Zoning.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",1.0
212,2020065288,Building Residential - New,Duplex,10/16/2020,11/18/2020,218232,908  WEST AVE,NASHVILLE,TN,37206,UNIT A 910 WEST AVENUE,"JONES CONSTRUCTION, DWAYNE MARK JONES DBA","908 WEST AVE, ATTACHED DUPLEX HPR,  1800 SQ FT HOUSE, 250 SQ FT PORCHES.  43.9' min front s/b; 5' min side s/b; 20' min rear s/b.  units attached.  max allowed height is 45' three floors max.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.  must comply fully with metro council bills 2014-725 and 2014-770.",5.0
213,2020066697,Building Residential - Rehab,Duplex,10/23/2020,12/28/2020,50000,1108  FOREST RIDGE WAY,HERMITAGE,TN,37076,LOT 222 VALLEY GROVE SEC 9,"JACKSON, J D CONTRACTNG CO","Rehab existing duplex structure damaged by March 3, 2020 tornado.  no increase to building footprint.  no increase in number of dwelling units.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",12.0
214,2020023382,Building Residential - Rehab,Duplex,4/14/2020,4/16/2020,260000,610  RUSSELL ST,NASHVILLE,TN,37206,LOT 66 HENRY BLOODS ADDN,BEAUTIFUL BY DESIGN,"Rehab interior, need to attach all trades (mechanical, electrical, hvac) to tornado damaged duplex.  MHZC must review application.  no increase in number of units.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",6.0
215,2020049678,Building Residential - New,Duplex,8/10/2020,8/25/2020,250000,1219B  14TH AVE S,NASHVILLE,TN,37212,UNIT B HOMES AT 1219 14TH AVENUE SOUTH,"AMERICAN EAGLE CONSTRUCTION, LLC","parent parcel is map 105-5 parcel 43, is zoned R6-A, contains 7500 sf lot area and is in a pre 1984 recorded subdivision.  this permit to construct unit B of proposed horizonal property line regime duplex.  units attached.  max allowed height is 45' three floors max.  R6-A Zoning requires all parking to be located to the rear of residence. must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.  must comply fully with metro council bills 2014-725 and 2014-770.",17.0
216,2020054523,Building Residential - New,Duplex,8/31/2020,9/24/2020,224294,1807  16TH AVE N,NASHVILLE,TN,37208,UNIT A HOMES AT 1807 16TH AVE N,TIMO6 LLC,"parent parcel is map 81-7 parcel 225, is zoned R6, contains 7300 sf lot area and is in a pre 1984 recorded subdivision.  this permit to construct unit B of proposed horizonal property line regime duplex with 1850 sf living area and 56 sf porch area.  units attached.  max allowed height is 45' three floors max.  23.6' min front s/b; 5' min side s/b; 20' min rear s/b.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.  SEPARATE PERMIT REQUIRED FOR DETACHED CARPORT.  must comply fully with metro council bills 2014-725 and 2014-770.",21.0
217,2019005552,Building Residential - Addition,Duplex,1/29/2019,1/29/2019,42131,2124A  BURNS ST,NASHVILLE,TN,37216,LOT 25-A BURNS SUB MAXEY,RHOW PROPERTIES LLC,"to construct a 17 x 22 master bed/bath addition to rear of side A of existing zero lot line duplex.  20' min rear s/b.  must comply with SBCCI section 403.3 and metro council bill 84-390.  for every 50' site frontage, a 24  x 35  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",7.0
218,2018075014,Building Residential - Rehab,Duplex,11/30/2018,1/9/2019,45000,6701  UPTON LN,NASHVILLE,TN,37209,LOT 46 CHARLOTTE PARK SEC. 26,floyd buck,"to conduct interior renovations to existing single family residence to convert to duplex. no change of footprint, interior work only.
***PURSUANT TO ORDINANCE NO 2008-1263 of the Metropolitan Code of Laws, I , holder of this permit, hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill.  Further, I certify that no construction or demolition waste shall be stored on the property in violation of any provisions of the Metropolitan Code. For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.*",20.0
219,2020061121,Building Residential - New,Duplex,9/28/2020,2/5/2021,250000,500A  ACKLEN PARK DR,NASHVILLE,TN,37205,UNIT A 500 ACKLEN PARK DRIVE,THE KINGSTON GROUP,Construct a duplex (two adjoined units) that each have 3 levels. The left unit will have a 1 car garage (accessed from Acklen Park Dr) and the right unit will have a two car garage (accessed from Nebraska Ave).,24.0
220,2019053787,Building Residential - Rehab,Duplex,9/6/2019,9/20/2019,104400,1023  PLEASANT VIEW DR,NASHVILLE,TN,37214,LOT 35-B PERCY PRIEST WOODS SEC 1 ZONE LOT DIV,Ascension General Contractors,"Home Owner had a fire in the kitchen and the entire unit had to be demo'd.  Home will be rebuilt exactly as it was before with no footprint changes.  zero lot line duplex.  must comply with SBCCI SECTION 403.3 AND METRO COUNCIL BILL 1984-390.  remains single family residence.  no increase to building footprint.  subject to inspectors approval.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",13.0
221,2020003265,Building Residential - New,Duplex,1/15/2020,1/24/2020,144600,706  COPPER BRANCH RD,HERMITAGE,TN,37076,UNIT 1432 MAGNOLIA FARMS VILLAS,BEAZER HOMES CORP,"To build a 1563 sq. ft. single family house with an attached 395 sq. ft. two car garage.  To be built under MASTER PERMIT # 2019007468.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",14.0
222,2020052447,Building Residential - Addition,Duplex,8/21/2020,9/9/2020,35000,208  CEDARMONT CIR,NASHVILLE,TN,37211,LOT 22 MONTE CARLO SEC. 2-C,"MUSIC CITY ELECTRICAL ENGINEERING, LLC","TO CONSTRUCT 16�X19� ADDITION OFF REAR OF EXISTING DUPLEX� �APT 208... ...5� MINIMUM SIDE� �20� MINIMUM REAR SETBACK� �NOT TO BUILD OVER OR OBSTRUCT ANY EASEMENTS ON PROPERTY� �

***FOR EVERY 50 FEET OF SITE FRONTAGE, A DOUBLE-SIDED SIGN 24� X 36� IN SIZE MUST BE POSTED IN ENGLISH AND SPANISH THAT CONTAINS THE INFORMATION REQUIRED BY ORDINANCE NO. 2017-835. NO MORE THAN THREE SIGNS ARE REQUIRED� �",31.0
223,2019028896,Building Residential - New,Duplex,5/16/2019,5/21/2019,281625,426  CREEDMORE DR,OLD HICKORY,TN,37138,LOT 5 ROBINSON FLATS,"E SQUARED,LLC","to construct 2500SF duplex residence(1250SF each side). 5' side setback, 20' min. rear and front setback. not to be over any easements.
***PURSUANT TO ORDINANCE NO 2008-1263 of the Metropolitan Code of Laws, I , holder of this permit, hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill.  Further, I certify that no construction or demolition waste shall be stored on the property in violation of any provisions of the Metropolitan Code* For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.*
For every 50 feet of site frontage, a double-sided sign 24� x 36� in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.***",11.0
224,2020077964,Building Residential - New,Duplex,12/14/2020,12/28/2020,189862,815  SUNSET VIEW DR,HERMITAGE,TN,37076,UNIT 1382 MAGNOLIA FARMS PH 2 SEC 2,BEAZER HOMES CORP,"To build a 1566 sq. ft. single family house with an attached 399 sq. ft two car garage.  Plans to be submitted to Planning for SP approval.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",14.0
225,2020009250,Building Residential - New,Duplex,2/11/2020,2/26/2020,176410,720  COPPER BRANCH RD,HERMITAGE,TN,37076,UNIT 1471 MAGNOLIA FARMS VILLAS,BEAZER HOMES CORP,"To build a 1566 sq. ft, single family house with a attached 395 sq. ft. two car garage.  To be built under Master Permit # 2019007468.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",14.0
226,2020080834,Building Residential - New,Duplex,12/31/2020,2/1/2021,181981,922  MILLSTREAM DR,NASHVILLE,TN,37218,UNIT 20B CROSSING AT DRAKES BRANCH,SDH NASHVILLE LLC,"to construct Unit B of attached duplex with 1501 SF of living space, 401 SF garage, and 190 SF in porches/decks. units attached.  max allowed height is 45' three floors max.  corner lot.  20' min front s/b; 5' min interior side s/b; 15' min side street s/b; 20' min rear s/b.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.  must comply fully with metro council bills 2014-725 and 2014-770.",1.0
227,2018043997,Building Residential - Rehab,Duplex,7/26/2018,7/26/2018,24363,237  MACFIE DR,MADISON,TN,37115,LOT 173-B CEDAR BLUFF SUB PH 1 ZONE LOT DIV,SELF CONTRACTOR RESIDENTIAL (SEE APPLICANT INFORMATION),to rehab one side of fire damaged portion of existing zero lot line duplex.  no increase to building footprint.  no increase in number of units.  must comply with building code section 403.3 and council bill 84-390.  subject to inspectors approval.,10.0
228,2018043735,Building Residential - Rehab,Duplex,7/25/2018,7/25/2018,24000,1359  TIMBER VALLEY DR,NASHVILLE,TN,37214,LOT 75-B PERCY PRIEST WOODS SEC 2 ZONE LOT DIV,SELF CONTRACTOR RESIDENTIAL (SEE APPLICANT INFORMATION),to conduct general repairs to existing zero lot line duplex to comply with building code section 403.3 and council bill 84-390.  no increase to building footprint.  no increase in number of units.  subject to inspectors approval.,13.0
229,2019049203,Building Residential - Rehab,Duplex,8/15/2019,8/15/2019,5000,1030  2ND AVE S,NASHVILLE,TN,37210,PT LOT 9 UNIVERSITY SUB,SELF CONTRACTOR RESIDENTIAL (SEE APPLICANT INFORMATION),"parcel is zoned R6 and contains 9400 sf lot area.  this permit to rehab the utility/bath room area of existing duplex.  no increase to building footprint.  no increase in number of dwelling units.  subject to inspectors approval.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",17.0
230,2019018620,Building Residential - New,Duplex,4/1/2019,10/3/2019,735605,428  MALLORY ST,NASHVILLE,TN,37203,LOT 22 B F BROWNS PLAN OF THE RAINS SPRING PROP,MCKENZIE CONSTRUCTION LLC,"To construct an attached duplex family residence for use as a Group Home. Each Unit to house a group of individuals (family) as defined by Metro Code 17.04.060 and in accordance with Tenn Code 13-24-102.  To be addressed as 428 Mallory (lower level) and 430 Mallory (Right Unit) and 432 Mallory (Left Unit). Minimum  43.2 ft front setback, 10 ft setback along Mallory Street, and 20 ft rear setback. Must conform with easements on property and R6-A Zoning. Each Duplex unit to have 3265 of living areas and 255 sq ft of porches for each unit. Ground level to have 3588 sq ft of living area. Sidewalks ARE required for this project because this parcel is within the UZO. You are eligible to contribute to the Pedestrian.. For every 50 feet of site frontage, a double-sided sign 24� x 36� in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.",17.0
231,2020054505,Building Residential - New,Duplex,8/31/2020,9/16/2020,262242,826  SUNSET VIEW DR,HERMITAGE,TN,37076,UNIT 1282 MAGNOLIA FARMS PH 2 SEC 2,BEAZER HOMES CORP,"To Build a 2163 sq.f t. single family house with an attached 397 sq. ft. two car garage.  To be built under Master Permit # 201907468.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",14.0
232,2021007451,Building Residential - New,Duplex,2/3/2021,3/12/2021,181981,804  RUNOFF WAY,NASHVILLE,TN,37218,UNIT 29B CROSSING AT DRAKES BRANCH,SDH NASHVILLE LLC,"to construct Unit B of attached duplex with 1501 SF of living space, 401 SF garage, 190 SF of porches/decks.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",1.0
233,2021019737,Building Residential - Rehab,Duplex,4/1/2021,4/8/2021,5000,520  MCIVER ST,NASHVILLE,TN,37211,LOT 3 PATTERSON SUB OF MAPLE HILL RE-SUB LOTS 27-28-29,"JBT Construction, LLC",exterior/interior repairs- no change to building footprint.  APPLICANT HAS NOT PROVIDED CONTRACT INFORMATION.,16.0
234,2019071708,Building Residential - New,Duplex,11/21/2019,12/3/2019,169500,846  SUNSET VIEW DR,HERMITAGE,TN,37076,UNIT 1332 MAGNOLIA FARMS VILLAS,BEAZER HOMES CORP,"To build a 2124 sq. ft. single family house with an attached 399 sq. ft two car garage.  House to be built under MASTER PERMIT # 2019007468.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",14.0
235,2021003716,Building Residential - New,Duplex,1/20/2021,2/10/2021,267698,710B  47TH AVE N,NASHVILLE,TN,37209,LOT 47 BLK 100 W NASH PLAN NO 1,"SAPPHIRE DEVELOPMENT, LLC","To construct a single family residence with 2208sf heated and cooled and 227sf porches/decks.  25.175' min front s/b; 3' min build to side s/b; 20' min rear s/b.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.  must comply fully with metro council bill 2013-419.",20.0
236,2019066895,Building Residential - Rehab,Duplex,10/31/2019,10/31/2019,25000,1513  ANDY ST,NASHVILLE,TN,37216,LOT 12 LEE SUB SEC 2,"CRAFTSMAN BUILDERS, LLC","parcel is zoned R6 and contains 6240 sf lot area.  this permit to rehab existing duplex.  no increase in number of dwelling units.  no increase to building footprint.  subject to inspectors approval.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",7.0
237,2020079228,Building Residential - New,Duplex,12/18/2020,1/28/2021,299099,405B S 10TH ST,NASHVILLE,TN,37206,LOT B 405 SOUTH 10TH STREET COTTAGES,TOUCHSTONE BUILDERS INC,"This permit to construct 405 South Tenth St Unit B of new HPR/duplex family residence with 2467 sq ft of living space, 440 sq ft garage, and 225 sq ft of porches and decks. Minimum 5 ft side setbacks, minimum front setback at 53.78 ft and 20 ft minimum rear setback. Max allowed height 41.95'. Must conform to all easements on property. Maximum height of 1.5 to width ratio from natural grade. Maximum building coverage on total parcel not to exceed 40%..... Pursuant # 2006-1263 Metro Code of Laws, I (holder OF permit) hereby certify that all construction & demolition waste generated by any & all activities governed by this permit shall be disposed of in an approved landfill. Further, I certify that no construction & demolition waste shall be stored on the property in violation of any provision of Metro Code.; For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property. Sidewalks are NOT required for this project. For every 50 feet of site frontage, a double-sided sign 24� x 36� in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835. No more than three signs are required. must comply fully with metro council bills 2014-725 and 2014-770.  MHZC must review application.",6.0
238,2019023389,Building Residential - Fire Damage,Duplex,4/22/2019,4/23/2019,25000,4175  DODSON CHAPEL RD,HERMITAGE,TN,37076,LOT 7 CHAPELWOOD SEC. 1,JADORE LUXURY HOMES LLC,PERMIT TO CONDUCT GENERAL REHAB/REPAIR� �FIRE DAMAGE� �FOR UNIT 4175 OF EXISTING DUPLEX� �NO CHANGE TO EXTERIOR ROOF/BUILDING LINES OR FOOTPRINT� �,14.0
239,2021001357,Building Residential - New,Duplex,1/8/2021,3/19/2021,230356,325B  DUKE ST,NASHVILLE,TN,37207,UNIT B THREETWENTYFIVE DUKE STREET,"JACKSON BUILDERS,LLC","To construct ...Unit B� of HPR detached duplex with 1900sf heated/cooled and 240sf porches/decks.  units detached.  max allowed height is 25.5'.  min required distance between structures is 6' min with no bump outs.  36.8' min front s/b; 5' min side s/b; 20' min rear s/b.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in required in regards to metro council bill 2017-835.  must comply fully with metro council bills 2014-725 and 2014-770.  R6-A zoning all parking must be to the rear of residence.",5.0
